id,description,timestamp
1,Início da Guerra da Sucessão Espanhola,-8488788812.0
2,Frederico I torna-se no primeiro Rei da Prússia,-8488788812.0
3,Fundação da Universidade de Yale.,-8488788812.0
4,"Fim do reinado de Gedun Chomphel, Desi Druk do reino do Butão.",-8488788812.0
5,"Inicio do reinado de Ngawang Tshering, Desi Druk do reino do Butão.",-8488788812.0
6,Início da Guerra da Rainha Ana,-8457252812.0
7,Francisco de São Jerônimo é nomeado bispo do Rio de Janeiro,-8457252812.0
8,António Coelho Guerreiro é nomeado primeiro governador de Timor,-8457252812.0
9,"Fundação do arraial do Serro Frio, em Minas Gerais, Brasil",-8457252812.0
10,"Construção da Ermida de Jesus Maria e José, no lugar da Várzea, ilha de São Miguel, Açores.",-8457252812.0
11,a Intendência das Minas.,-8457252812.0
12,"Naufrágio da fragata francesa ''''Fla Orbanne'''', nos baixios da Baía de Angra. Este acidente deixou informações nos livros de óbitos da freguesia da Sé, aquando da inumação dos náufragos dados à costa da cidade.  Affaires Etrangères, B1.652, Fº 64.",-8427617612.0
13,"Iniciada a mineração, o rei de Portugal criou a Intendência das Minas, órgão encarregado de controlar a exploração de ouro, cobrar impostos e julgar os crimes praticados na região.",-8427617612.0
14,"Epidemia de febre amarela assola a cidade de Nova Iorque, dizimando 10% de sua população.",-8427617612.0
15,"Construção da Ermida de Santa Margarida de Chaves, Rosto de Cão, ilha de São Miguel, Açores.",-8425716812.0
16,"É criado o jornal diário Wiener Zeitung,até então chamado de Wiennerisches Diarium.",-8406795212.0
17,Portugal e Inglaterra assinaram o Tratado de Methuen.,-8394612812.0
18,Portugal e Inglaterra assinaram o Tratado de Methuen.,-8394612812.0
19,"Fim do reinado de Ngawang Tshering, Desi Druk do reino do Butão.",-8394180812.0
20,"Inicio do reinado de Umdze Peljor, Desi Druk do reino do Butão.",-8394180812.0
21,"Surto epidémico na ilha do Faial, Açores que causa muitas mortes.",-8394180812.0
22,"Publicado o primeiro jornal regular das Treze Colônias em Boston, chamado ''The Boston News-Letter''.",-8384331212.0
23,"Batalha de Blenheim, entre as tropas anglo-austríacas e as franco-bávaras",-8374740812.0
24,"Uma força Anglo-Neerlandesa, liderada por Sir George Rooke, Captura Gibraltar a Espanha",-8374740812.0
25,"Fundação da cidade histórica de Santa Bárbara, no interior de Minas Gerais.",-8364977612.0
26,"É publicado pela primeira vez ''Corografia Portuguesa'', um compêndio de notícias sobre as localidades portuguesas, editado por António Carvalho da Costa.",-8331022412.0
27,"Construção da Capela do Senhor Jesus dos Aflitos, na Sé Catedral de Angra do Heroísmo, capela que provêm do primeiro templo fundado por Diogo Álvares Vieira e sua mulher Beatriz Anes Camacho. Nesta capela encontra-se a pedra tumular de Francisco Dias do Carvalhal, seu instituidor. ampamp Desdobrável ampquotBem vindos à Catedral de Angra - ilha Terceira – Açores”. Ed. da Sé Catedral de Angra. Tip. Moderna - Angra do Heroísmo ampamp",-8331022412.0
28,"Naufrágio da embarcação de nome ''Sumaca'', conhecida também como ''Balandra York'', naufragada na Baía da Calheta, ilha de São Jorge, Açores, com uma carga de pau brasil e tabaco.",-8302424012.0
29,sobe ao trono português D. João V.,-8299486412.0
30,"Começa a Guerra dos Emboabas, em Minas Gerais, Brasil.",-8299486412.0
31,"Fim do reinado de Umdze Peljor, Desi Druk do reino do Butão.",-8299486412.0
32,"Inicio do reinado de Druk Rabgye, Desi Druk do Reino do Butão.",-8299486412.0
33,"uma esquadra naval, comandada pelo pirata Francês René Duguay-Trouin formada por 8 naus de linha e 3 navios Corsários de grossa artilharia, atacam as Velas, não tendo no entanto conseguido entrar no Porto de Velas defendido pelo Sargento Mor Amaro Teixeira de Sousa.",-8245313612.0
34,"O ataque logrado a 19 de mesmo mês inicia-se de novo com uma esquadra naval, comandada pelo francês Duguay-Trouin constituída por 8 naus de linha e 3 navios corsários de grossa artilharia à Vila das Velas, ilha de São Jorge, Açores. À segunda tentativa lançaram em terra mais de 500 homens que saquearam as igrejas e casas da referida vila.",-8245227212.0
35,"1708 - O Forte de São Sebastião com o apoio da artilharia da Fortaleza de São João Baptista, impediu a armada de René Duguay-Trouin, de atacar Angra do Heroísmo, como atacou as Velas, na Ilha de São Jorge.",-8245227212.0
36,Novembro - Massacre de Ouro Preto. Começa a Guerra dos Emboabas nas Minas Gerais.,-8245227212.0
37,Casamento do rei João V de Portugal com a arquiduquesa Maria Ana de Áustria,-8242030412.0
38,"Doação da capitania da ilha Graciosa, Açores a D. Rodrigo Sanches Farinha de Baena.",-8236846412.0
39,"Bartolomeu de Gusmão em Portugal, perante o seu rei  e o futuro Papa Inocêncio XIII, fez voar a passarola, de sua invenção, o primeiro balão aquecido a ar conhecido até então.",-8217406412.0
40,Construção do primeiro piano em Florença por Bartolomeu Cristofori.,-8217406412.0
41,Começa a Guerra dos Mascates no Pernambuco (Brasil).,-8217406412.0
42,Termina a Guerra dos Emboabas no Brasil.,-8217406412.0
43,"Construção da Igreja de São Francisco em Ponta Delgada, ilha de São Miguel, Açores.",-8217406412.0
44,"Criação da Superintendência das Minas de Ouro do Serro Frio, em Minas Gerais, para a qual foi nomeado o Sargento-mor Lourenço Carlos Mascarenhas.",-8173256012.0
45,"É publicado pela última vez ''Corografia Portuguesa'', um compêndio de notícias sobre as localidades portuguesas, editado por António Carvalho da Costa.",-8141720012.0
46,Máquina a vapor por Thomas Newcomen,-8141720012.0
47,rre na Suécia o dia 30 de Fevereiro,-8141720012.0
48,"Encerra-se a divisão da Província da Carolina em Norte e Sul, entretanto as duas colônias permanecem sob o comando dos mesmos proprietários.",-8141720012.0
49,"Fundação da Irmandade do Rosário em Vila Franca do Campo, ilha de São Miguel, Açores.",-8141633612.0
50,"Assinado entre Portugal e França, estabelecia que o Rio Oiapoque, no norte do atual território brasileiro, limitaria a fronteira entre Brasil e Guiana Francesa, o tratado de utrecht.",-8110097612.0
51,"Açores que se estende até 1714, e causa a fome e a peste devido à fraqueza das populações. foi causado pelo ciclone tropical de 25 de setembro de 1713, levando muita gente à morte.A fome foi tal que: quota falta de mantimentos que chegou a morrer muita gente de fomequot. Na ilha do Pico, o povo teve de recorrer a comer quotsocas e raízesquot para sobreviver. Noutras ilhas também as colheitas falharam e grassou a fome. Como se tal não bastasse uma epidemia de peste provocou alguns milhares de mortos. No Pico terão morrido 5.000 pessoas e no Faial 500 pessoas, entre as quais 49 religiosos dos conventos da Horta.",-8110097612.0
52,"inundações na vila de Velas, com chuvas intensas na zona entre a Urzelina e os Rosais que levam a destruição de casas. A Ribeira do Almeida veio tão carregada de caudal sólido que criou uma praia que permitia a passagem a pé entre a vila e a Queimada.",-8110097612.0
53,Guerra da Sucessão Espanhola: assinatura do Tratado de Utrecht,-8101457612.0
54,Um ciclone tropical causa destruição nos Açores.,-8087028812.0
55,"dezembro - Grandes Tremores de terra na ilha de S. Miguel, Açores. Após semanas de contínuos abalos deu-se uma erupção de lamas e gases do Pico das Camarinhas. A manifestação vulcânica ficou por essa fase. A crise sísmica destruiu casas nos Ginetes, Mosteiros e Candelária.",-8087028812.0
56,"29 de janeiro - É criada a vila e município com o nome de Vila do Príncipe, primeira vila do norte de Minas, atual cidade do Serro.",-8078561612.0
57,"Jorge, eleitor de Hanôver, torna-se rei Jorge I da Grã-Bretanha.",-8060244812.0
58,O Ducado de Sabóia e Piemonte torna-se no Reino da Sardenha.,-8060244812.0
59,"Piratas Argelinos atacam os Açores, matam e fazem prisioneiros. Ao chegarem à ilha do Corvo são repelidos, deixando para trás cem mortos entre os seus.",-8060244812.0
60,"Encerra-se a Guerra dos Mascates na então Capitania de Pernambuco, Brasil, graças à mediação da Coroa de Portugal.",-8060244812.0
61,"Portugal recebe a Colónia do Sacramento, no actual Uruguai.",-8043915212.0
62,fundada na taverna The Goose and Gridiron a maçonaria,-7966241612.0
63,Fundação de Montevidéu no Uruguai.,-7966241612.0
64,Batalha de Matapão,-7966241612.0
65,"Segunda quinzena de Outubro - Por ocasião da passagem do Conde de Assumar pela Vila de Santo Antônio de Guaratinguetá, três pescadores - João Alves, Domingos Garcia e Felipe Pedroso - encontram no Rio Paraíba do Sul, uma imagem de Nossa Senhora da Conceição em suas redes. A pesca abundante logo após o encontro da Imagem, é considerado o primeiro milagre da santa que foi chamada - Nossa Senhora da Conceição Aparecida.",-7966241612.0
66,"Fundação do primeiro arraial em São Gonçalo do Pará, em Minas Gerais, que se tornaria importante área de combate aos indígenas e mineração.",-7966241612.0
67,"Grande terramoto na ilha do Faial, Açores.",-7952331212.0
68,"Pacoal Moreira Cabral partiu de Sorocaba na época das cheias, desceu o Rio Tietê até encontrar o Rio Paraná.",-7952331212.0
69,"Nicolaus Heinsius, O Jovem, foi médico e erudito holandês (n. 1656).",-7951380812.0
70,"Erupção vulcânica em Santa Luzia, na ilha do Pico, Açores.",-7949652812.0
71,"Erupções em São Mateus e São João do Pico, Açores, Na madrugada enormes estrondos são acompanhados de violentos sismos. Deu-se uma explosão no lugar da Bragada, entre São Mateus e São João.",-7949566412.0
72,"Autorização para a fundação do Convento da vila da Calheta, Calheta, da ilha de São Jorge, Açores.",-7941012812.0
73,"Criação da Diocese de Belém do Pará, Brasil, pelo Papa Clemente XI.",-7915438412.0
74,"Moreira Cabral fundava a futura cidade de Cuiaba, atual capital mato-grossense.",-7912414412.0
75,É publicado o romance ''Robinson Crusoe'' do escritor inglês Daniel Defoe,-7910945612.0
76,"Erupção submarina a Oeste da ilha de São Miguel, Açores.",-7910945612.0
77,"Fim do reinado de Druk Rabgye, Desi Druk do Reino do Butão.",-7910945612.0
78,"Inicio do reinado de Ngawang Gyamtsho, Desi Druk do Reino do Butão, reinou até 1729.",-7910945612.0
79,"Minas Gerais se tornaria uma capitania, com a economia fortemente controlada pela Coroa",-7889259212.0
80,É criada a Comarca do Serro Frio - primeira Comarca do norte de Minas Gerais.,-7889259212.0
81,Nasce oficialmente a cidade de Itabira,-7889259212.0
82,"Reconstrução da Ermida de Nossa Senhora do Loreto na Fajã de Baixo, ilha de São Miguel, Açores.",-7889259212.0
83,A Coroa de Portugal criou a Casa de fundição.,-7889259212.0
84,"10 de julho - Erupção vulcânica no Pico Soldão, faldas da Montanha do Pico, Lajes do Pico, Açores, iniciou-se por ampquot''dezasseis bocas nas faldas do Pico''ampquot de fogo.ampampPor detrás do cabeço do Soldãoampquot uma erupção que ampquotinundou de fogoampquot perto de uma légua quadrada, consumindo terras e vinhedos e destruindo 30 casas ampquotcujos moradores salvaram suas vidas fugindo precipitadamenteampquot. A erupção foi precedida de numerosos sismos e perdurou até Dezembro daquele ano.",-7889259212.0
85,"Erupção submarina no Banco D. João de Castro entre a ilha Terceira e a ilha de São Miguel, Açores.No dia ''10 de Outubro viu-se da ilha Terceira, a alguma distância dela, sair do mar um grande fogo''. Marítimos que foram observar de perto o fenómeno viram uma ilha toda de ''fogo e fumo'', de onde uma grande quantidade de cinzas eram lançadas no ar com o ruído de um trovão. A erupção foi precedida de muitos tremores, sentidos na Terceira e na costa oeste de São Miguel. A ilha formada era quase redonda e suficientemente alta para ser avistada de 7-8 léguas de distância. Perdurou até finais de 1723, sendo desfeita pelo mar.",-7889259212.0
86,"Fundação do Arquivo Público do Estado de São Paulo, a mais antiga repartição pública da capital paulista.",-7835345612.0
87,movimento anticolonial ocorrido no Paraguai.,-7835345612.0
88,"dezembro, um navio francês, o ''''Le Elisabeth'''', naufraga na Baía de Angra. Houve náufragos que foram sepultados nos cemitérios da cidade.",-7835345612.0
89,Jakob Roggeveen descobre a Ilha de Páscoa.,-7817892812.0
90,"É lançada a primeira pedra da Capela do Senhor das Barrocas, em Aveiro.",-7817892812.0
91,"Reconstrução da Ermida de Jesus, Maria, José da Urzelina, ilha de São Jorge, cuja construção é mais antiga e foi da iniciativa dos frades da Ordem dos Franciscanos.ampamp São Jorge, Açores, Guia do Património Cultural. Edição Atlantic View – Actividades Turísticas, Lda. Dep. Legal n.º 197839/03. ISBN 972-96057-2-6, 1ª edição, 2003. ampamp",-7817892812.0
92,"Criação da Vila da Madalena na ilha do Pico, Açores.",-7788862412.0
93,"com a morte de Pedro O Grande, Catarina I da Rússia assume como imperatriz.",-7728123212.0
94,"Confirmação da doação da capitania da ilha de Santa Maria, Açores a Afonso de Vasconcelos e Sousa.",-7711188812.0
95,"Abertura do Campo Novo (Braga), na cidade portuguesa de Braga.",-7711188812.0
96,"Bartolomeu Bueno da Silva Filho, encontrou ouro em Goiás.",-7711188812.0
97,"Jorge II é coroado rei da Grã-Bretanha, sucedendo seu pai Jorge I.",-7654424012.0
98,"undação de Pirenópolis, Goiás, Brasil.",-7644228812.0
99,"Na Escócia, é realizada a última execução por bruxaria.",-7644228812.0
100,"Edificação da Igreja de Nossa Senhora do Livramento na ilha de São Miguel, Açores.",-7644228812.0
101,Fundação da cidade de Cuiabá,-7644228812.0
102,"Início da construção da Igreja de Nossa Senhora do Ó, em Pernambuco.",-7644228812.0
103,"Início da construção da Igreja Matriz de Nossa Senhora do Rosário, em Pirenópolis.",-7636798412.0
104,"Confirmação da criação do curato de Santa Clara em Ponta Delgada, ilha de São Miguel, Açores.",-7614939212.0
105,"Início da abertura do Caminho dos Conventos, na atual região de Araranguá, sul do Brasil. O caminho teria como finalidade o transporte de cargas até o estado de Minas Gerais, que já contava com a proto-exploração de minérios pelos bandeirantes paulistas, mas que só chegaria ao seu ápice após a tomada de Minas pelos emboabas luso-nordestinos, aliados nativos e seus escravos (descendentes daqueles que haviam expulsado os neerlandeses), separando-a da capitania paulista que nasceu com São Vicente (região de Santos) e São Paulo de Piratininga (possivelmente o ápice da mineração se deu entre a metade do século XVIII e o início do último quarto de tal século).",-7614939212.0
106,"Stephen Gray e Granvil Wheeler constroem a primeira linha eléctrica na Inglaterra. Para esse fim, utilizam uma corda de cânhamo umidecido, com 200 metros de comprimento.",-7605176012.0
107,"Fim do reinado de Ngawang Gyamtsho, Desi Druk do Reino do Butão.",-7605176012.0
108,"Inicio do reinado de Mipham Wangpo, Desi Druk do Reino do Butão, reinou até 1736.",-7605176012.0
109,A descoberta de diamates no Arraial do Tijuco (hoje Diamantina),-7605176012.0
110,"Inauguração do Convento de Mafra por vontade de D. João V de Portugal, apesar de a sua construção ainda não estar completa.",-7573640012.0
111,"Um sismo causa destruição na freguesia da Luz, ilha Graciosa, Açores, provocou destruição generalizada na freguesia.",-7559556812.0
112,"Rei Jorge II da Grã-Bretanha concede o direito a James Oglethorpe de fundar a província da Geórgia, separando-a da região da Carolina do Sul.",-7496744012.0
113,"Explosão do paiol de pólvora do castelo de Campo Maior devido a uma tempestade, matando grande parte da população local.",-7488190412.0
114,"Início da reedificação da Matriz da vila da Calheta, a Igreja de Santa Catarina, ilha de São Jorge, Açores.",-7488190412.0
115,"Fundação da Congregação do Santíssimo Redentor, em Scala, Itália.",-7483524812.0
116,"Cheias provocam mortes na ilha de São Jorge. Os lugares mais afectados foram Urzelina, Figueiras, Serroa e Velas.",-7481192012.0
117,"James Oglethorpe, general e colono britânico, funda Savannah, que torna-se a capital da Província da Geórgia.",-7475316812.0
118,"Autorização episcopal para a reconstrução da Igreja de São Pedro de Ponta Delgada, ilha de São Miguel, Açores.",-7472811212.0
119,"Autorização episcopal para a reconstrução da Igreja de São Sebastião, matriz de Ponta Delgada, ilha de São Miguel.",-7450606412.0
120,"Doação das alcaidarias da ilha Graciosa e da ilha do Faial, Açores a Pedro Sanches Farinha de Baena.",-7444472012.0
121,"Publicada a obra ampquotO Espírito das Leis (L’Espirit dês Lois)ampquot, de Montesquieu, onde se trata, principalmente, a tripartição dos poderes.",-7444472012.0
122,Fundação de Natividade (primeira povoação a ser estabelecida no atual estado brasileiro do Tocantins).,-7444472012.0
123,"Instituição da confraria de Nossa Senhora do Rosário, Candelária, ilha de São Miguel, Açores.",-7444472012.0
124,"Inundação no lugar da Povoação, ilha de São Miguel, Açores, tendo provocado mortes e danos materiais.",-7423476812.0
125,"Confirmação da doação da capitania da ilha de Santa Maria, Açores a José de Caminha Vasconcelos de Sousa.",-7422094412.0
126,Publicadas as ''Cartas Filosóficas'' de Voltaire,-7416564812.0
127,"Fim do reinado de Mipham Wangpo, Desi Druk do Reino do Butão.",-7384337612.0
128,"Inicio do reinado de Khuwo Peljor, Desi Druk do Reino do Butão, reinou até 1739.",-7384337612.0
129,"Lineu publica o seu primeiro trabalho científico, ''A Flora Lapónica''",-7352715212.0
130,"começa a escavação da cidade Romana de Herculano, destruída pelo Vesúvio no ano 79",-7293876812.0
131,Fundação da estancia de Socorro no interior de São Paulo.,-7293876812.0
132,"Novembro - É dada ordem para a construção de um forte para protecção da costa da Fajã dos Vimes, ilha de São Jorge, embora já fosse referido num documento de 1707.",-7293876812.0
133,a Ilha de Bouvet é descoberta pelo explorador francés Jean-Baptiste Charles Bouvet de Lozier.,-7289643212.0
134,O Ducado da Lorena é integrado no reino de França.,-7289643212.0
135,"Fim do reinado de Khuwo Peljor, Desi Druk do Reino do Butão.",-7289643212.0
136,"Inicio do reinado de Ngawang Gyaltshen, Desi Druk do Reino do Butão, reinou até 1744.",-7289643212.0
137,Guerra da orelha de Jenkins entre ingleses e espanhóis.,-7289643212.0
138,18 de Julho de 1743 - Primeira vez que um anúncio de meia página de propaganda é publicada(NY Weekly Journal),-7163412812.0
139,"Os ingleses descobrem as minas do Palhal, em Ribeira de Fráguas.",-7131876812.0
140,"Fim do reinado de Ngawang Gyaltshen, Desi Druk do Reino do Butão.",-7131876812.0
141,"Inicio do reinado de Sherab Wangchuck, Desi Druk do Reino do Butão, reinou até 1763.",-7131876812.0
142,"Um Ciclone tropical causa grandes cheias nos Açores causando cheias, na ilha do Pico, na Prainha do Galeão morreram 7 pessoas arrastadas para o mar na Prainha do Norte, 6 pessoas e outras 5 pereceram em São Roque do Pico. Na ilha de São Miguel também houve mortes em Água de Pau e nos Fenais da Ajuda.",-7107857612.0
143,"Mau ano agrícola provoca fome e emigração em massa nos Açores. Foi resultado das cheias de 1744.ampampFoi resultado das cheias de 1744, faltaram os cereais. Na ilha do Pico, o povo ampquot''recorreu a socas e raízes para manter a vida e faltando-lhe mesmo esse mísero alimento emigrou para as mais ilhas''ampquot. Grassaram doenças, fazendo mortandade. Face a esta situação, por alvará régio foi autorizada a emigração para o Brasil, tendo partido pelo menos 1600 pessoas.ampamp",-7100254412.0
144,"Primeira narrativa oficial do encontro da imagem de Nossa Senhora Aparecida é escrita pelo vigário de Guaratinguetá, Padre José Alves Vilela no livro do Tombo da paróquia de Santo Antônio.",-7100254412.0
145,Criação da Prelazia de Goiás.,-7100254412.0
146,"Benção solene da primeira capela de Nossa Senhora Aparecida no Morro dos Coqueiros, atual cidade de Aparecida",-7082456012.0
147,"Dezembro - Construção da Ermida de Nossa Senhora da Victória na Relva, ilha de São Miguel, Açores.",-7082456012.0
148,"Pieter van Musschenbroek de Leyden descobre com a famosa garrafa de Leyden, o primeiro condensador.",-7068718412.0
149,Data que marca o início da partidas de milhares de colonos açorianos para o Brasil.,-7068718412.0
150,Nomeação de Inácio de Sousa Jácome no cargo de Provedor da Fazenda das ilhas dos Açores.,-7055844812.0
151,"Ordem de reconstrução da Igreja de São Pedro, Vila Franca do Campo, ilha de São Miguel, Açores.",-7054376012.0
152,"Em Portugal é criada a freguesia de São José de São Lázaro, o coração da actual cidade de Braga.",-7037182412.0
153,"Bernhard Siegfried Albinus (1697-1770), contando com a ajuda do artista Jan Wandelaar (1691-1759), conseguiu produzir a conta mais exata de ossos e músculos do corpo humano.",-7037182412.0
154,Assinatura do tratado de Aix-la-Chapelle,-6980504012.0
155,"Lisboa e grande parte do resto de Portugal é atingida por um terremoto de grande intensidade, de que existem referências escritas da época a mencionar grandes estragos.",-6980504012.0
156,"Segundo embarque de colonos açorianos para o Brasil, a primeira leva partiu em 1746.",-6974024012.0
157,"Fundação da cidade de Porto Príncipe, capital do Haiti.",-6974024012.0
158,"Fundação da cidade de Alexandria, no estado da Virgínia, Estados Unidos.",-6962792012.0
159,É firmado o Tratado de Madrid.,-6941451212.0
160,Benjamin Franklin resolve empinar uma pipa numa tempestade sofrendo uma descarga atmosférica.,-6929096012.0
161,José I torna-se Rei de Portugal e nomeia o Marquês de Pombal primeiro ministro.,-6929096012.0
162,Voltaire publica ''Orestes''.,-6929096012.0
163,"Início da construção do Santuário do Bom Jesus de Matosinhos em Congonhas, Minas Gerais, por Aleijadinho.",-6929096012.0
164,"Naufrágio, nos mares dos Açores da fragata francesa ampquot''Andromade''ampquot, provinda de São Domingo.",-6929096012.0
165,"Edificação da Igreja de Nossa Senhora da Conceição, nos Arrifes, ilha de São Miguel, Açores.",-6929096012.0
166,"Construção da Ermida de Santa Rita nas Capelas, ilha de São Miguel.",-6929096012.0
167,Construção dos Arcos da Lapa (arqueoduto) no Rio de Janeiro.,-6929096012.0
168,"Foi assinado entre Portugal e Espanha, o Tratado de Madri. Que estabelecia que a Colônia de Sacramento pertencia á Espanha. Em troca, Portugal recebia a área de Sete Povos das Missões, situada em terras do atual Rio Grande do Sul.",-6929096012.0
169,Ano de descoberta do níquel.,-6910952012.0
170,"Edição da primeira Enciclopédia, escrita por Diderot e D'Alembert.",-6910952012.0
171,Ano de criação do Para-raios.,-6879416012.0
